        Date        , GPU Core Clock [MHz] , GPU Core Clock [MHz] , GPU Temperature [°C] , Fan Speed (%) [%] , Fan Speed (RPM) [RPM] , Memory Used [MB] , GPU Load [%] , Memory Controller Load [%] , Video Engine Load [%] , Bus Interface Load [%] , Power Consumption [% TDP] , PerfCap Reason [] , VDDC [V] ,
2018-01-25 16:19:20 ,              135.0   ,              162.0   ,               35.0   ,              22   ,                 979   ,            296   ,          0   ,                        7   ,                   0   ,                    0   ,                     8.4   ,              16   , 0.8560   ,
2018-01-25 16:19:21 ,              135.0   ,              162.0   ,               34.0   ,              22   ,                 977   ,            296   ,          0   ,                        7   ,                   0   ,                    0   ,                     8.4   ,              16   , 0.8560   ,
2018-01-25 16:19:22 ,              135.0   ,              162.0   ,               34.0   ,              22   ,                 976   ,            296   ,          0   ,                        7   ,                   0   ,                    0   ,                     8.4   ,              16   , 0.8560   ,
2018-01-25 16:19:23 ,              135.0   ,              162.0   ,               34.0   ,              22   ,                 976   ,            296   ,          0   ,                        7   ,                   0   ,                    0   ,                     8.3   ,              16   , 0.8560   ,
2018-01-25 16:19:24 ,              135.0   ,              162.0   ,               34.0   ,              22   ,                 975   ,            296   ,          0   ,                        7   ,                   0   ,                    0   ,                     8.4   ,              16   , 0.8560   ,
2018-01-25 16:19:25 ,              135.0   ,              162.0   ,               34.0   ,              22   ,                 973   ,            296   ,          0   ,                        7   ,                   0   ,                    0   ,                     8.4   ,              16   , 0.8560   ,
2018-01-25 16:19:26 ,              135.0   ,              162.0   ,               34.0   ,              22   ,                 972   ,            296   ,          0   ,                        7   ,                   0   ,                    0   ,                     8.3   ,              16   , 0.8560   ,
2018-01-25 16:19:27 ,              135.0   ,              162.0   ,               34.0   ,              22   ,                 972   ,            296   ,          0   ,                        7   ,                   0   ,                    0   ,                     8.4   ,              16   , 0.8560   ,
2018-01-25 16:19:28 ,              135.0   ,              162.0   ,               34.0   ,              22   ,                 972   ,            296   ,          0   ,                        7   ,                   0   ,                    0   ,                     8.3   ,              16   , 0.8560   ,
2018-01-25 16:19:29 ,              135.0   ,              162.0   ,               34.0   ,              22   ,                 968   ,            296   ,          0   ,                        7   ,                   0   ,                    0   ,                     8.4   ,              16   , 0.8560   ,
2018-01-25 16:19:30 ,              135.0   ,              162.0   ,               34.0   ,              22   ,                 968   ,            296   ,          0   ,                        7   ,                   0   ,                    0   ,                     8.3   ,              16   , 0.8560   ,
2018-01-25 16:19:31 ,              135.0   ,              162.0   ,               34.0   ,              22   ,                 968   ,            296   ,          0   ,                        7   ,                   0   ,                    0   ,                     8.3   ,              16   , 0.8560   ,
2018-01-25 16:19:32 ,              135.0   ,              162.0   ,               34.0   ,              22   ,                 968   ,            296   ,          0   ,                        7   ,                   0   ,                    0   ,                     8.4   ,              16   , 0.8560   ,
2018-01-25 16:19:33 ,              135.0   ,              162.0   ,               34.0   ,              22   ,                 965   ,            296   ,          0   ,                        7   ,                   0   ,                    0   ,                     8.3   ,              16   , 0.8560   ,
2018-01-25 16:19:34 ,              135.0   ,              162.0   ,               34.0   ,              22   ,                 964   ,            296   ,          0   ,                        7   ,                   0   ,                    0   ,                     8.3   ,              16   , 0.8560   ,
2018-01-25 16:19:35 ,             1050.5   ,             1502.3   ,               35.0   ,              22   ,                 959   ,           3446   ,          0   ,                        1   ,                   0   ,                    0   ,                    28.1   ,              16   , 1.0120   ,
2018-01-25 16:19:36 ,             1050.5   ,             1502.3   ,               36.0   ,              22   ,                 955   ,           3505   ,         22   ,                        3   ,                   0   ,                   10   ,                    27.0   ,              16   , 0.0000   ,
2018-01-25 16:19:37 ,             1050.5   ,             1502.3   ,               36.0   ,              22   ,                 954   ,           3505   ,         24   ,                        4   ,                   0   ,                   12   ,                    27.2   ,              16   , 1.0120   ,
2018-01-25 16:19:38 ,             1050.5   ,             1502.3   ,               36.0   ,              22   ,                 956   ,           3505   ,         27   ,                        4   ,                   0   ,                   13   ,                    27.5   ,              16   , 1.0120   ,
2018-01-25 16:19:39 ,             1050.5   ,             1502.3   ,               36.0   ,              22   ,                 957   ,           3505   ,         26   ,                        4   ,                   0   ,                   13   ,                    27.0   ,              16   , 1.0120   ,
2018-01-25 16:19:40 ,             1050.5   ,             1502.3   ,               36.0   ,              22   ,                 957   ,           3505   ,         27   ,                        4   ,                   0   ,                   13   ,                    27.1   ,              16   , 1.0120   ,
2018-01-25 16:19:41 ,             1050.5   ,             1502.3   ,               37.0   ,              22   ,                 957   ,           3505   ,         24   ,                        4   ,                   0   ,                   11   ,                    27.2   ,              16   , 1.0120   ,
2018-01-25 16:19:42 ,             1050.5   ,             1502.3   ,               37.0   ,              22   ,                 958   ,           3505   ,         22   ,                        3   ,                   0   ,                   11   ,                    27.3   ,              16   , 1.0120   ,
2018-01-25 16:19:43 ,             1050.5   ,             1502.3   ,               37.0   ,              22   ,                 958   ,           3505   ,         27   ,                        4   ,                   0   ,                   13   ,                    27.0   ,              16   , 1.0120   ,
2018-01-25 16:19:44 ,             1050.5   ,             1502.3   ,               37.0   ,              22   ,                 961   ,           3505   ,         26   ,                        4   ,                   0   ,                   13   ,                    27.0   ,              16   , 1.0120   ,
2018-01-25 16:19:45 ,             1050.5   ,             1502.3   ,               37.0   ,              22   ,                 959   ,           3505   ,         26   ,                        4   ,                   0   ,                   13   ,                    27.1   ,              16   , 1.0120   ,
2018-01-25 16:19:46 ,             1050.5   ,             1502.3   ,               37.0   ,              22   ,                 961   ,           3505   ,         28   ,                        4   ,                   0   ,                   13   ,                    27.3   ,              16   , 1.0120   ,
2018-01-25 16:19:47 ,             1050.5   ,             1502.3   ,               38.0   ,              22   ,                 959   ,           3505   ,         28   ,                        4   ,                   0   ,                   13   ,                    27.2   ,              16   , 1.0120   ,
2018-01-25 16:19:48 ,             1050.5   ,             1502.3   ,               38.0   ,              22   ,                 961   ,           3505   ,         24   ,                        3   ,                   0   ,                   11   ,                    27.5   ,              16   , 1.0120   ,
2018-01-25 16:19:49 ,             1050.5   ,             1502.3   ,               38.0   ,              22   ,                 961   ,           3505   ,         23   ,                        3   ,                   0   ,                   11   ,                    27.5   ,              16   , 1.0120   ,
